03_random,2024-08-26T05:01:37-04:00,d3e07b6ad9d6,,"Internals: Always use parallel for make -j 4 clang-format yapf format-pl-exec make[1]: Entering directory '/svaha/wsnyder/SandBox/homecvs/v4/verilator' yapf3 -i bin/verilator_ccache_report bin/verilator_difftree bin/verilator_gantt bin/verilator_includer bin/verilator_profcfunc examples/json_py/vl_file_copy examples/json_py/vl_hier_graph docs/guide/conf.py docs/bin/vl_sphinx_extract docs/bin/vl_sphinx_fix src/astgen src/bisonpre src/config_rev src/cppcheck_filtered src/flexfix src/vlcovgen src/.gdbinit.py test_regress/t/*.pf nodist/clang_check_attributes nodist/code_coverage nodist/dot_importer nodist/fuzzer/actual_fail nodist/fuzzer/generate_dictionary nodist/install_test nodist/log_changes  nodist/code_coverage.dat chmod a+x test_regress/t/*.pl clang-format-14 -i ./include/verilated.cpp ./include/verilated_cov.cpp ./include/verilated_dpi.cpp ./include/verilated_fst_c.cpp ./include/verilated_fst_sc.cpp ./include/verilated_probdist.cpp ./include/verilated_profiler.cpp ./include/verilated_random.cpp ./include/verilated_save.cpp ./include/verilated_threads.cpp ./include/verilated_timing.cpp ./include/verilated_vcd_c.cpp ./include/verilated_vcd_sc.cpp ./include/verilated_vpi.cpp ./examples/make_hello_c/sim_main.cpp ./examples/make_hello_sc/sc_main.cpp ./examples/make_protect_lib/sim_main.cpp ./examples/make_tracing_c/sim_main.cpp ./examples/make_tracing_sc/sc_main.cpp ./src/VlcMain.cpp ./src/VlcTop.cpp ./src/V3Active.cpp ./src/V3ActiveTop.cpp ./src/V3Assert.cpp ./src/V3AssertPre.cpp ./src/V3Ast.cpp ./src/V3AstNodes.cpp ./src/V3Begin.cpp ./src/V3Branch.cpp ./src/V3Broken.cpp ./src/V3CCtors.cpp ./src/V3CUse.cpp ./src/V3Case.cpp ./src/V3Cast.cpp ./src/V3Class.cpp ./src/V3Clean.cpp ./src/V3Clock.cpp ./src/V3Combine.cpp ./src/V3Common.cpp ./src/V3Config.cpp ./src/V3Const.cpp ./src/V3Coverage.cpp ./src/V3CoverageJoin.cpp ./src/V3Dead.cpp ./src/V3Delayed.cpp ./src/V3Depth.cpp ./src/V3DepthBlock.cpp ./src/V3Descope.cpp ./src/V3Dfg.cpp ./src/V3DfgAstToDfg.cpp ./src/V3DfgCache.cpp ./src/V3DfgDecomposition.cpp ./src/V3DfgDfgToAst.cpp ./src/V3DfgOptimizer.cpp ./src/V3DfgPasses.cpp ./src/V3DfgPeephole.cpp ./src/V3DfgRegularize.cpp ./src/V3DupFinder.cpp ./src/Verilator.cpp ./src/V3EmitCBase.cpp ./src/V3EmitCConstPool.cpp ./src/V3EmitCFunc.cpp ./src/V3EmitCHeaders.cpp ./src/V3EmitCImp.cpp ./src/V3EmitCInlines.cpp ./src/V3EmitCMain.cpp ./src/V3EmitCMake.cpp ./src/V3EmitCModel.cpp ./src/V3EmitCPch.cpp ./src/V3EmitCSyms.cpp ./src/V3EmitMk.cpp ./src/V3EmitV.cpp ./src/V3EmitXml.cpp ./src/V3Error.cpp ./src/V3ExecGraph.cpp ./src/V3Expand.cpp ./src/V3File.cpp ./src/V3FileLine.cpp ./src/V3Force.cpp ./src/V3Fork.cpp ./src/V3Gate.cpp ./src/V3Global.cpp ./src/V3Graph.cpp ./src/V3GraphAcyc.cpp ./src/V3GraphAlg.cpp ./src/V3GraphPathChecker.cpp ./src/V3GraphTest.cpp ./src/V3Hash.cpp ./src/V3Hasher.cpp ./src/V3HierBlock.cpp ./src/V3Inline.cpp ./src/V3Inst.cpp ./src/V3InstrCount.cpp ./src/V3Interface.cpp ./src/V3Param.cpp ./src/V3ParseGrammar.cpp ./src/V3ParseImp.cpp ./src/V3ParseLex.cpp ./src/V3PreProc.cpp ./src/V3PreShell.cpp ./src/V3Premit.cpp ./src/V3ProtectLib.cpp ./src/V3Randomize.cpp ./src/V3Reloop.cpp ./src/V3Sampled.cpp ./src/V3Sched.cpp ./src/V3SchedAcyclic.cpp ./src/V3SchedPartition.cpp ./src/V3SchedReplicate.cpp ./src/V3SchedTiming.cpp ./src/V3SchedVirtIface.cpp ./src/V3Scope.cpp ./src/V3Scoreboard.cpp ./src/V3Slice.cpp ./src/V3Split.cpp ./src/V3SplitAs.cpp ./src/V3SplitVar.cpp ./src/V3StackCount.cpp ./src/V3Stats.cpp ./src/V3StatsReport.cpp ./src/V3String.cpp ./src/V3Subst.cpp ./src/V3TSP.cpp ./src/V3Table.cpp ./src/V3Task.cpp ./src/V3ThreadPool.cpp ./src/V3Timing.cpp ./src/V3Trace.cpp ./src/V3TraceDecl.cpp ./src/V3Tristate.cpp ./src/V3Undriven.cpp ./src/V3Unknown.cpp ./src/V3Unroll.cpp ./src/V3VariableOrder.cpp ./src/V3Waiver.cpp ./src/V3Width.cpp ./src/V3WidthCommit.cpp ./src/V3WidthSel.cpp ./src/V3Life.cpp ./src/V3LifePost.cpp ./src/V3LinkCells.cpp ./src/V3LinkDot.cpp ./src/V3LinkInc.cpp ./src/V3LinkJump.cpp ./src/V3LinkLValue.cpp ./src/V3LinkLevel.cpp ./src/V3LinkParse.cpp ./src/V3LinkResolve.cpp ./src/V3Localize.cpp ./src/V3MergeCond.cpp ./src/V3Name.cpp ./src/V3Number.cpp ./src/V3OptionParser.cpp ./src/V3Options.cpp ./src/V3Order.cpp ./src/V3OrderGraphBuilder.cpp ./src/V3OrderMoveGraph.cpp ./src/V3OrderParallel.cpp ./src/V3OrderProcessDomains.cpp ./src/V3OrderSerial.cpp ./src/V3Os.cpp ./src/V3Param.cpp ./src/V3ParseGrammar.cpp ./src/V3ParseImp.cpp ./src/V3ParseLex.cpp ./src/V3PreProc.cpp ./src/V3PreShell.cpp ./src/V3Premit.cpp ./src/V3ProtectLib.cpp ./src/V3Randomize.cpp ./src/V3Reloop.cpp ./src/V3Sampled.cpp ./src/V3Sched.cpp ./src/V3SchedAcyclic.cpp ./src/V3SchedPartition.cpp ./src/V3SchedReplicate.cpp ./src/V3SchedTiming.cpp ./src/V3SchedVirtIface.cpp ./src/V3Scope.cpp ./src/V3Scoreboard.cpp ./src/V3Slice.cpp ./src/V3Split.cpp ./src/V3SplitAs.cpp ./src/V3SplitVar.cpp ./src/V3StackCount.cpp ./src/V3Stats.cpp ./src/V3StatsReport.cpp ./src/V3String.cpp ./src/V3Subst.cpp ./src/V3TSP.cpp ./src/V3Table.cpp ./src/V3Task.cpp ./src/V3ThreadPool.cpp ./src/V3Timing.cpp ./src/V3Trace.cpp ./src/V3TraceDecl.cpp ./src/V3Tristate.cpp ./src/V3Undriven.cpp ./src/V3Unknown.cpp ./src/V3Unroll.cpp ./src/V3VariableOrder.cpp ./src/V3Waiver.cpp ./src/V3Width.cpp ./src/V3WidthCommit.cpp ./src/V3WidthSel.cpp ./include/verilated.h ./include/verilated_config.h ./include/verilated_cov.h ./include/verilated_cov_key.h ./include/verilated_dpi.h ./include/verilated_fst_c.h ./include/verilated_fst_sc.h ./include/verilated_funcs.h ./include/verilated_imp.h ./include/verilated_intrinsics.h ./include/verilated_profiler.h ./include/verilated_random.h ./include/verilated_save.h ./include/verilated_sc.h ./include/verilated_sc_trace.h ./include/verilated_sym_props.h ./include/verilated_syms.h ./include/verilated_threads.h ./include/verilated_timing.h ./include/verilated_trace.h ./include/verilated_trace_imp.h ./include/verilated_types.h ./include/verilated_vcd_c.h ./include/verilated_vcd_sc.h ./include/verilated_vpi.h ./include/verilatedos.h ./include/verilatedos_c.h ./src/V3Active.h ./src/V3ActiveTop.h ./src/V3Assert.h ./src/V3AssertPre.h ./src/V3Ast.h ./src/V3AstInlines.h ./src/V3AstNodeDType.h ./src/V3AstNodeExpr.h ./src/V3AstNodeOther.h ./src/V3AstUserAllocator.h ./src/V3Begin.h ./src/V3Branch.h ./src/V3Broken.h ./src/V3CCtors.h ./src/V3CUse.h ./src/V3Case.h ./src/V3Cast.h ./src/V3Class.h ./src/V3Clean.h ./src/V3Clock.h ./src/V3Combine.h ./src/V3Common.h ./src/V3Config.h ./src/V3Const.h ./src/V3Coverage.h ./src/V3CoverageJoin.h ./src/V3Dead.h ./src/V3Delayed.h ./src/V3Depth.h ./src/V3DepthBlock.h ./src/V3Descope.h ./src/V3Dfg.h ./src/V3DfgCache.h ./src/V3DfgOptimizer.h ./src/V3DfgPasses.h ./src/V3DfgPatternStats.h ./src/V3DfgPeephole.h ./src/V3DfgVertices.h ./src/V3DupFinder.h ./src/V3EmitC.h ./src/V3EmitCBase.h ./src/V3EmitCConstInit.h ./src/V3EmitCFunc.h ./src/V3EmitCMain.h ./src/V3EmitCMake.h ./src/V3EmitMk.h ./src/V3EmitV.h ./src/V3EmitXml.h ./src/V3Error.h ./src/V3ExecGraph.h ./src/V3Expand.h ./src/V3File.h ./src/V3FileLine.h ./src/V3Force.h ./src/V3Fork.h ./src/V3FunctionTraits.h ./src/V3Gate.h ./src/V3Global.h ./src/V3Graph.h ./src/V3GraphAlg.h ./src/V3GraphPathChecker.h ./src/V3GraphStream.h ./src/V3Hash.h ./src/V3Hasher.h ./src/V3HierBlock.h ./src/V3Inline.h ./src/V3Inst.h ./src/V3InstrCount.h ./src/V3Interface.h ./src/V3LangCode.h ./src/V3LanguageWords.h ./src/V3Life.h ./src/V3LifePost.h ./src/V3LinkCells.h ./src/V3LinkDot.h ./src/V3LinkInc.h ./src/V3LinkJump.h ./src/V3LinkLValue.h ./src/V3LinkLevel.h ./src/V3LinkParse.h ./src/V3LinkResolve.h ./src/V3List.h ./src/V3Localize.h ./src/V3MemberMap.h ./src/V3MergeCond.h ./src/V3Mutex.h ./src/V3Name.h ./src/V3Number.h ./src/V3OptionParser.h ./src/V3Options.h ./src/V3Order.h ./src/V3OrderCFuncEmitter.h ./src/V3OrderGraph.h ./src/V3OrderInternal.h ./src/V3OrderMoveGraph.h ./src/V3Os.h ./src/V3PairingHeap.h ./src/V3Param.h ./src/V3Parse.h ./src/V3ParseImp.h ./src/V3ParseSym.h ./src/V3PchAstMT.h ./src/V3PchAstNoMT.h ./src/V3PreExpr.h ./src/V3PreLex.h ./src/V3PreProc.h ./src/V3PreShell.h ./src/V3Premit.h ./src/V3ProtectLib.h ./src/V3Randomize.h ./src/V3Reloop.h ./src/V3Rtti.h ./src/V3Sampled.h ./src/V3Sched.h ./src/V3Scope.h ./src/V3Scoreboard.h ./src/V3SenExprBuilder.h ./src/V3SenTree.h ./src/V3Simulate.h ./src/V3Slice.h ./src/V3Split.h ./src/V3SplitAs.h ./src/V3SplitVar.h ./src/V3StackCount.h ./src/V3Stats.h ./src/V3StdFuture.h ./src/V3String.h ./src/V3Subst.h ./src/V3SymTable.h ./src/V3TSP.h ./src/V3Table.h ./src/V3Task.h ./src/V3ThreadPool.h ./src/V3Timing.h ./src/V3Trace.h ./src/V3TraceDecl.h ./src/V3Tristate.h ./src/V3Undriven.h ./src/V3UniqueNames.h ./src/V3Unknown.h ./src/V3Unroll.h ./src/V3VariableOrder.h ./src/V3Waiver.h ./src/V3Width.h ./src/V3WidthCommit.h ./src/V3WidthRemove.h ./src/VlcBucket.h ./src/VlcOptions.h ./src/VlcPoint.h ./src/VlcSource.h ./src/VlcTest.h ./src/VlcTop.h ./src/config_build.h ./src/config_package.h ./src/config_rev.h ./src/verilog.y ./src/V3PreLex.l ./src/verilog.l test_regress/t/*.c* test_regress/t/*.h make[1]: Leaving directory '/svaha/wsnyder/SandBox/homecvs/v4/verilator'"
03_random,2024-08-23T07:57:57-04:00,eb8bbcda058a,5397,"Internals: Simplify `CaptureVisitor` in `V3Randomize` (#5397)"
03_random,2024-08-21T06:16:44-04:00,930f35acc9c7,5338,"Support `constraint_mode` (#5338)"
03_random,2024-08-20T13:25:58-04:00,59d2eea302f6,5389,"Fix capturing fields from superclass in `randomize() with` (#5389)"
03_random,2024-08-09T17:21:32-04:00,367249ec8454,5354,"Add parsing but otherwise ignore std::randomize (#5354)"
03_random,2024-08-05T17:56:03-04:00,f4cb2c8cf2c8,5329,"Add more `rand_mode` unsupported errors (#5329)"
03_random,2024-08-02T11:45:17-04:00,45ee949cc48e,5277,"Internals: Disambiguate variable references under `with` clauses of `randomize()` methods (#5277)"
03_random,2024-08-02T10:03:55-04:00,54f9f4b6a945,5302,"Support foreach constraints (#5302)"
03_random,2024-07-31T22:30:48+01:00,2f5c58b345ec,5273,"Support `rand_mode` (#5273)"
03_random,2024-07-26T05:46:30-04:00,b9e1d552622b,5305,"Fix handling of rand fields not referenced in constraints (#5305)"
03_random,2024-07-19T13:03:48-04:00,2bd2b9324fea,5280,"Fix inline constraints creating class random generator (#5280)"
03_random,2024-07-19T09:14:56+02:00,43377ed8b08d,5282,"Add support for `this.randomize with` (#5282)"
03_random,2024-07-15T21:01:33-04:00,0a9b31bb30fd,5264,"Add warning on dist in constraints (#5264)"
03_random,2024-07-15T16:42:41+02:00,34e37d7bd087,5263,"Keep one member map for randomize method creation (#5263)"
03_random,2024-07-13T08:31:16-04:00,4cf017d7fe06,5260,"Tests: Skip t_randomize_method_constraints when no solver is installed (#5260)"
03_random,2024-07-12T16:18:18+02:00,3cf9606ea9d9,5234,"Support inline constraints for class randomization methods (#5234)"
03_random,2024-07-10T11:30:18-04:00,570e1bc35a96,5245,"Support conditional constraints (#5245)"
03_random,2024-07-04T11:42:53+01:00,dace2c0a9a8f,5224,"Tests: Skip t_constraint_state when no solver is installed (#5224)"
03_random,2024-07-01T20:19:15+02:00,85356f464f82,5217,"State-dependent constraints (#5217)"
03_random,2024-06-13T08:38:20-04:00,442c9bc31681,5126,"Support parsing and otherwise ignoring inline constraints (#5126)"
03_random,2024-05-23T22:25:14-04:00,ee130cb20de7,,"Tests: Skip if no constraint solver"
03_random,2024-05-10T06:37:19-04:00,45eb5b8a5c99,5110,"Fix method calls parsing in constraints (#5110)"
03_random,2024-03-19T08:22:39-04:00,26f15e11c4b7,5001,"Fix unique {} constraints missing semicolon (#5001)"
03_random,2024-03-12T07:49:01-04:00,953249aa4305,,"CI: Add dist-vlt-3 to avoid out of disk space"
03_random,2024-03-02T19:49:29+00:00,5e1fc6e24d9c,4937,"Add DFG 'regularize' pass, and improve variable removal (#4937)"
03_random,2024-03-02T10:14:54-05:00,a378dbd9b2e5,,"Tests: Fix t_dist_whitespace"
03_random,2024-02-13T21:53:32+09:00,65b632a7dd89,4892,"Improve assertion for unique case (#4892)"
03_random,2023-11-12T07:32:08-05:00,eff2d977c148,,"Fix mis-elimination of variables across randomize()"
03_random,2023-11-11T20:20:37-05:00,99dbd23f1b5e,4683,"Support passing constraints to --xml-only output (still otherwise unsupported) (#4683)"
03_random,2023-09-26T22:53:25-04:00,2385ab8294f0,,"Tests: randc now supported"
03_random,2023-09-18T21:17:21-04:00,24ff3155ae07,4349,"Support randc (#4349)."
03_random,2023-09-16T09:22:12-04:00,891cc0f9b6c5,4085,"Fix t_dist_cppstyle Perl performance issue (#4085)."
03_random,2023-05-07T15:08:44-04:00,6188083baa3a,,"Tests: Improve randc tests"
03_random,2023-05-06T18:33:08-04:00,250c6950cfee,,"Fix randomize missing simple class rand members."
03_random,2023-04-05T21:27:37-04:00,05660d11188f,,"Add CONSTRAINTIGN warning when constraint ignored.  Likewise ignore constraint_mode, rand_mode."
03_random,2023-04-02T15:10:45-04:00,7e1980af7a67,,"Tests: Avoid t_dist failures on deleted files."
03_random,2023-03-14T13:47:43-04:00,fc3fdcc71c63,4024,"Tests: Fix randomize_method test (#4024)"
03_random,2023-03-14T14:48:06+01:00,80b7b8bbdb54,4023,"Don't call randomize on null field (#4023)"
03_random,2023-02-11T13:29:52-05:00,e9441cff5088,,"Parse external constraints as UNSUPPORTED."
03_random,2023-01-22T09:53:55-05:00,f4865a4bb296,,"Fix configure; always look for std=c++17 rather than by distro."
03_random,2023-01-20T20:42:46-05:00,5a39fc4ba9d8,,"Tests: Add t_dist_copyright.pl"
03_random,2022-12-04T17:30:51-05:00,ea1b141d133b,,"Support probablity distribution functions."
03_random,2022-11-19T22:01:55-05:00,e266b2cb0351,,"Tests: Add $dist tests"
03_random,2022-11-18T21:30:34-05:00,0322e9da7ed5,,"Fix randcase inside function."
03_random,2022-11-13T11:59:40-05:00,c6ecd6099306,,"Support pre_randomize and post_randomize."
03_random,2022-11-11T21:53:05-05:00,a4278608255d,,"Support randcase."
03_random,2022-10-15T18:37:44-04:00,c0739e908cfc,,"Fix internal traceActivity to be zero reset not randomized."
03_random,2022-09-16T15:52:25+01:00,38a8d7fb2edf,,"Remove redundant 'inline' keywords from definitions"
03_random,2022-09-16T15:19:38+01:00,0c70a0dcbf0a,,"Remove redundant 'virtual' keywords from overridden methods"
03_random,2022-09-13T21:54:12+01:00,25644844299a,,"astgen: Rewrite in a more OOP way, in preparation for extensions"
03_random,2022-08-31T16:52:05+01:00,546aeab9f2c3,,"V3Order: Minor refactoring for clarity"
03_random,2022-08-20T21:18:50+01:00,9ac64d0b929c,,"Improve performance of MTask coarsening"
03_random,2022-08-19T16:59:20+01:00,83475008d94a,,"Improve performance of MTask coarsening"
03_random,2021-10-24T16:49:05+01:00,f5a226a183da,,"Partial clean up of V3Order. No functional change intended."
03_random,2021-09-07T19:27:46-04:00,2a79e46c4626,,"Tests: Fix t_dist_fixme to detect later files."
03_random,2021-07-22T18:01:07+01:00,ab4063f098d6,,"Emit implementations into separate files based on required headers."
03_random,2021-06-13T15:05:55+01:00,c207e98306cb,3013,"Implement a distinct constant pool (#3013)"
03_random,2021-06-12T23:25:58+01:00,e6e7bd8d832c,,"Compile the debug build with -Og -ggdb -gz if supported."
03_random,2021-06-09T23:51:03+01:00,d22df4e90756,,"CI: Add extra dist-vlt shard for better load balancing"
03_random,2021-06-09T21:17:02+01:00,24b3816f5e95,,"Improve distribution of V3Hash/V3Hasher"
03_random,2020-12-09T19:17:30-05:00,5e7b0d526dd2,2680,"Support 'randc' as alias to 'rand' (#2680)"
03_random,2020-12-07T17:55:22-05:00,cf7ea06b5de6,,"Support randomize() class method and rand"
03_random,2020-11-26T11:50:50-05:00,d56b923eaabc,,"Fix 'randomize() with {}' crash"
03_random,2020-11-17T22:14:18-05:00,e6f7510895ac,,"Add check for rand_mode/constraint_mode."
03_random,2020-10-28T08:37:12+09:00,05ff96bea3f4,2604,"Fix SEGV when $fgets, $sscanf, or $fscanf is used with string (#2604)"
03_random,2020-07-02T21:10:05-04:00,b968f577119b,,"Suppress unsupported constraint, as implied by unsupported randomize."
03_random,2020-06-06T12:08:36-04:00,4862916f391e,,"Support --bbox-unsup parsing of 'constraint', 'dist', 'solve'"
03_random,2020-06-06T11:22:48-04:00,870ec27b73e0,,"Support --bbox-unsup parsing of 'randomize'"
03_random,2020-04-13T22:52:23-04:00,5c966ec510ba,,"clang-format many files. No functional change. Use nodist/clang_formatter to reformat files that are now clean."
